Region,Latitude,Longitude,Radius
Algeria_Adrar,20.1475612,2.752275,10
Algeria_Adrar,20.1475612,2.9441992,10
Algeria_Adrar,20.1475612,3.1361235,10
Algeria_Adrar,20.1475612,3.3280478,10
Algeria_Adrar,20.1475612,3.5199721,10
Algeria_Adrar,20.1475612,3.7118964,10
Algeria_Tamanghasset,20.1475612,3.9038207,10
Algeria_Tamanghasset,20.1475612,4.0957449,10
Algeria_Tamanghasset,20.1475612,4.2876692,10
Algeria_Tamanghasset,20.1475612,4.4795935,10
Algeria_Tamanghasset,20.1475612,4.6715178,10
Algeria_Tamanghasset,20.1475612,4.8634421,10
Algeria_Tamanghasset,20.1475612,5.0553664,10
Algeria_Tamanghasset,20.1475612,5.2472907,10
Algeria_Tamanghasset,20.1475612,5.4392149,10
Algeria_Tamanghasset,20.1475612,5.6311392,10
Algeria_Tamanghasset,20.1475612,5.8230635,10
Algeria_Tamanghasset,20.1475612,6.0149878,10
Algeria_Tamanghasset,20.1475612,6.2069121,10
Algeria_Tamanghasset,20.1475612,6.3988364,10
Algeria_Tamanghasset,20.1926062,6.5907607,5
Algeria_Adrar,20.3727864,1.8047876,5
Algeria_Adrar,20.3367504,2.0065419,9
Algeria_Adrar,20.3547684,2.1602577,7
Algeria_Adrar,20.3277414,2.3812284,10
Algeria_Adrar,20.3277414,2.5733753,10
Algeria_Adrar,20.3277414,2.7655222,10
Algeria_Adrar,20.3277414,2.9576692,10
Algeria_Adrar,20.3277414,3.1498161,10
Algeria_Adrar,20.3277414,3.341963,10
Algeria_Adrar,20.3277414,3.5341099,10
Algeria_Adrar,20.3277414,3.7262569,10
Algeria_Tamanghasset,20.3277414,3.9184038,10
Algeria_Tamanghasset,20.3277414,4.1105507,10
Algeria_Tamanghasset,20.3277414,4.3026977,10
Algeria_Tamanghasset,20.3277414,4.4948446,10
Algeria_Tamanghasset,20.3277414,4.6869915,10
Algeria_Tamanghasset,20.3277414,4.8791384,10
Algeria_Tamanghasset,20.3277414,5.0712854,10
Algeria_Tamanghasset,20.3277414,5.2634323,10
Algeria_Tamanghasset,20.3277414,5.4555792,10
Algeria_Tamanghasset,20.3277414,5.6477262,10
Algeria_Tamanghasset,20.3277414,5.8398731,10
Algeria_Tamanghasset,20.3277414,6.03202,10
Algeria_Tamanghasset,20.3277414,6.2241669,10
Algeria_Tamanghasset,20.3277414,6.4163139,10
Algeria_Tamanghasset,20.3277414,6.6084608,10
Algeria_Tamanghasset,20.3727864,6.8006077,5
Algeria_Adrar,20.5079215,1.8170536,10
Algeria_Adrar,20.5079215,2.0094256,10
Algeria_Adrar,20.5079215,2.2017976,10
Algeria_Adrar,20.5079215,2.3941696,10
Algeria_Adrar,20.5079215,2.5865416,10
Algeria_Adrar,20.5079215,2.7789136,10
Algeria_Adrar,20.5079215,2.9712856,10
Algeria_Adrar,20.5079215,3.1636576,10
Algeria_Adrar,20.5079215,3.3560296,10
Algeria_Adrar,20.5079215,3.5484016,10
Algeria_Adrar,20.5079215,3.7407736,10
Algeria_Tamanghasset,20.5079215,3.9331456,10
Algeria_Tamanghasset,20.5079215,4.1255176,10
Algeria_Tamanghasset,20.5079215,4.3178896,10
Algeria_Tamanghasset,20.5079215,4.5102616,10
Algeria_Tamanghasset,20.5079215,4.7026335,10
Algeria_Tamanghasset,20.5079215,4.8950055,10
Algeria_Tamanghasset,20.5079215,5.0873775,10
Algeria_Tamanghasset,20.5079215,5.2797495,10
Algeria_Tamanghasset,20.5079215,5.4721215,10
Algeria_Tamanghasset,20.5079215,5.6644935,10
Algeria_Tamanghasset,20.5079215,5.8568655,10
Algeria_Tamanghasset,20.5079215,6.0492375,10
Algeria_Tamanghasset,20.5079215,6.2416095,10
Algeria_Tamanghasset,20.5079215,6.4339815,10
Algeria_Tamanghasset,20.5079215,6.6263535,10
Algeria_Tamanghasset,20.5079215,6.8187255,10
Algeria_Tamanghasset,20.5529666,7.0110975,5
Algeria_Adrar,20.7421558,1.3094423,4
Algeria_Adrar,20.7241377,1.4442534,6
Algeria_Adrar,20.6881017,1.6368529,10
Algeria_Adrar,20.6881017,1.8294524,10
Algeria_Adrar,20.6881017,2.0220519,10
Algeria_Adrar,20.6881017,2.2146514,10
Algeria_Adrar,20.6881017,2.4072509,10
Algeria_Adrar,20.6881017,2.5998504,10
Algeria_Adrar,20.6881017,2.7924499,10
Algeria_Adrar,20.6881017,2.9850494,10
Algeria_Adrar,20.6881017,3.1776488,10
Algeria_Adrar,20.6881017,3.3702483,10
Algeria_Adrar,20.6881017,3.5628478,10
Algeria_Adrar,20.6881017,3.7554473,10
Algeria_Tamanghasset,20.6881017,3.9480468,10
Algeria_Tamanghasset,20.6881017,4.1406463,10
Algeria_Tamanghasset,20.6881017,4.3332458,10
Algeria_Tamanghasset,20.6881017,4.5258453,10
Algeria_Tamanghasset,20.6881017,4.7184448,10
Algeria_Tamanghasset,20.6881017,4.9110443,10
Algeria_Tamanghasset,20.6881017,5.1036438,10
Algeria_Tamanghasset,20.6881017,5.2962433,10
Algeria_Tamanghasset,20.6881017,5.4888428,10
Algeria_Tamanghasset,20.6881017,5.6814423,10
Algeria_Tamanghasset,20.6881017,5.8740418,10
Algeria_Tamanghasset,20.6881017,6.0666412,10
Algeria_Tamanghasset,20.6881017,6.2592407,10
Algeria_Tamanghasset,20.6881017,6.4518402,10
Algeria_Tamanghasset,20.6881017,6.6444397,10
Algeria_Tamanghasset,20.6881017,6.8370392,10
Algeria_Tamanghasset,20.6881017,7.0296387,10
Algeria_Tamanghasset,20.7151287,7.1933466,7
Algeria_Adrar,20.8682819,1.2731377,9
Algeria_Adrar,20.8682819,1.4563257,10
Algeria_Adrar,20.8682819,1.6491551,10
Algeria_Adrar,20.8682819,1.8419846,10
Algeria_Adrar,20.8682819,2.034814,10
Algeria_Adrar,20.8682819,2.2276434,10
Algeria_Adrar,20.8682819,2.4204729,10
Algeria_Adrar,20.8682819,2.6133023,10
Algeria_Adrar,20.8682819,2.8061318,10
Algeria_Adrar,20.8682819,2.9989612,10
Algeria_Adrar,20.8682819,3.1917906,10
Algeria_Adrar,20.8682819,3.3846201,10
Algeria_Adrar,20.8682819,3.5774495,10
Algeria_Tamanghasset,20.8682819,3.770279,10
Algeria_Tamanghasset,20.8682819,3.9631084,10
Algeria_Tamanghasset,20.8682819,4.1559378,10
Algeria_Tamanghasset,20.8682819,4.3487673,10
Algeria_Tamanghasset,20.8682819,4.5415967,10
Algeria_Tamanghasset,20.8682819,4.7344262,10
Algeria_Tamanghasset,20.8682819,4.9272556,10
Algeria_Tamanghasset,20.8682819,5.1200851,10
Algeria_Tamanghasset,20.8682819,5.3129145,10
Algeria_Tamanghasset,20.8682819,5.5057439,10
Algeria_Tamanghasset,20.8682819,5.6985734,10
Algeria_Tamanghasset,20.8682819,5.8914028,10
Algeria_Tamanghasset,20.8682819,6.0842323,10
Algeria_Tamanghasset,20.8682819,6.2770617,10
Algeria_Tamanghasset,20.8682819,6.4698911,10
Algeria_Tamanghasset,20.8682819,6.6627206,10
Algeria_Tamanghasset,20.8682819,6.85555,10
Algeria_Tamanghasset,20.8682819,7.0483795,10
Algeria_Tamanghasset,20.8682819,7.2412089,10
Algeria_Tamanghasset,20.8953089,7.4051122,7
Algeria_Adrar,21.0574711,1.2851184,9
Algeria_Adrar,21.0484621,1.4685272,10
Algeria_Adrar,21.0484621,1.661589,10
Algeria_Adrar,21.0484621,1.8546509,10
Algeria_Adrar,21.0484621,2.0477127,10
Algeria_Adrar,21.0484621,2.2407746,10
Algeria_Adrar,21.0484621,2.4338364,10
Algeria_Adrar,21.0484621,2.6268983,10
Algeria_Adrar,21.0484621,2.8199601,10
Algeria_Adrar,21.0484621,3.013022,10
Algeria_Adrar,21.0484621,3.2060838,10
Algeria_Adrar,21.0484621,3.3991457,10
Algeria_Tamanghasset,21.0484621,3.5922075,10
Algeria_Tamanghasset,21.0484621,3.7852694,10
Algeria_Tamanghasset,21.0484621,3.9783312,10
Algeria_Tamanghasset,21.0484621,4.1713931,10
Algeria_Tamanghasset,21.0484621,4.3644549,10
Algeria_Tamanghasset,21.0484621,4.5575168,10
Algeria_Tamanghasset,21.0484621,4.7505786,10
Algeria_Tamanghasset,21.0484621,4.9436405,10
Algeria_Tamanghasset,21.0484621,5.1367023,10
Algeria_Tamanghasset,21.0484621,5.3297642,10
Algeria_Tamanghasset,21.0484621,5.522826,10
Algeria_Tamanghasset,21.0484621,5.7158879,10
Algeria_Tamanghasset,21.0484621,5.9089497,10
Algeria_Tamanghasset,21.0484621,6.1020116,10
Algeria_Tamanghasset,21.0484621,6.2950734,10
Algeria_Tamanghasset,21.0484621,6.4881353,10
Algeria_Tamanghasset,21.0484621,6.6811971,10
Algeria_Tamanghasset,21.0484621,6.874259,10
Algeria_Tamanghasset,21.0484621,7.0673208,10
Algeria_Tamanghasset,21.0484621,7.2603827,10
Algeria_Tamanghasset,21.0484621,7.4534445,10
Algeria_Tamanghasset,21.0664801,7.6271996,8
Algeria_Tamanghasset,21.1025161,7.7816409,4
Algeria_Adrar,21.2826963,0.9589662,4
Algeria_Adrar,21.2466603,1.1135954,8
Algeria_Adrar,21.2286423,1.2875618,10
Algeria_Adrar,21.2286423,1.4808586,10
Algeria_Adrar,21.2286423,1.6741553,10
Algeria_Adrar,21.2286423,1.867452,10
Algeria_Adrar,21.2286423,2.0607488,10
Algeria_Adrar,21.2286423,2.2540455,10
Algeria_Adrar,21.2286423,2.4473422,10
Algeria_Adrar,21.2286423,2.640639,10
Algeria_Adrar,21.2286423,2.8339357,10
Algeria_Adrar,21.2286423,3.0272324,10
Algeria_Tamanghasset,21.2286423,3.2205292,10
Algeria_Tamanghasset,21.2286423,3.4138259,10
Algeria_Tamanghasset,21.2286423,3.6071226,10
Algeria_Tamanghasset,21.2286423,3.8004194,10
Algeria_Tamanghasset,21.2286423,3.9937161,10
Algeria_Tamanghasset,21.2286423,4.1870128,10
Algeria_Tamanghasset,21.2286423,4.3803096,10
Algeria_Tamanghasset,21.2286423,4.5736063,10
Algeria_Tamanghasset,21.2286423,4.766903,10
Algeria_Tamanghasset,21.2286423,4.9601998,10
Algeria_Tamanghasset,21.2286423,5.1534965,10
Algeria_Tamanghasset,21.2286423,5.3467932,10
Algeria_Tamanghasset,21.2286423,5.54009,10
Algeria_Tamanghasset,21.2286423,5.7333867,10
Algeria_Tamanghasset,21.2286423,5.9266835,10
Algeria_Tamanghasset,21.2286423,6.1199802,10
Algeria_Tamanghasset,21.2286423,6.3132769,10
Algeria_Tamanghasset,21.2286423,6.5065737,10
Algeria_Tamanghasset,21.2286423,6.6998704,10
Algeria_Tamanghasset,21.2286423,6.8931671,10
Algeria_Tamanghasset,21.2286423,7.0864639,10
Algeria_Tamanghasset,21.2286423,7.2797606,10
Algeria_Tamanghasset,21.2286423,7.4730573,10
Algeria_Tamanghasset,21.2286423,7.6663541,10
Algeria_Tamanghasset,21.2286423,7.8596508,10
Algeria_Tamanghasset,21.2646783,8.0142846,6
Algeria_Adrar,21.4538675,0.7191842,5
Algeria_Adrar,21.4088224,0.9127183,10
Algeria_Adrar,21.4088224,1.1062524,10
Algeria_Adrar,21.4088224,1.2997865,10
Algeria_Adrar,21.4088224,1.4933206,10
Algeria_Adrar,21.4088224,1.6868547,10
Algeria_Adrar,21.4088224,1.8803888,10
Algeria_Adrar,21.4088224,2.0739229,10
Algeria_Adrar,21.4088224,2.267457,10
Algeria_Adrar,21.4088224,2.4609911,10
Algeria_Adrar,21.4088224,2.6545253,10
Algeria_Tamanghasset,21.4088224,2.8480594,10
Algeria_Tamanghasset,21.4088224,3.0415935,10
Algeria_Tamanghasset,21.4088224,3.2351276,10
Algeria_Tamanghasset,21.4088224,3.4286617,10
Algeria_Tamanghasset,21.4088224,3.6221958,10
Algeria_Tamanghasset,21.4088224,3.8157299,10
Algeria_Tamanghasset,21.4088224,4.009264,10
Algeria_Tamanghasset,21.4088224,4.2027981,10
Algeria_Tamanghasset,21.4088224,4.3963322,10
Algeria_Tamanghasset,21.4088224,4.5898663,10
Algeria_Tamanghasset,21.4088224,4.7834004,10
Algeria_Tamanghasset,21.4088224,4.9769345,10
Algeria_Tamanghasset,21.4088224,5.1704686,10
Algeria_Tamanghasset,21.4088224,5.3640028,10
Algeria_Tamanghasset,21.4088224,5.5575369,10
Algeria_Tamanghasset,21.4088224,5.751071,10
Algeria_Tamanghasset,21.4088224,5.9446051,10
Algeria_Tamanghasset,21.4088224,6.1381392,10
Algeria_Tamanghasset,21.4088224,6.3316733,10
Algeria_Tamanghasset,21.4088224,6.5252074,10
Algeria_Tamanghasset,21.4088224,6.7187415,10
Algeria_Tamanghasset,21.4088224,6.9122756,10
Algeria_Tamanghasset,21.4088224,7.1058097,10
Algeria_Tamanghasset,21.4088224,7.2993438,10
Algeria_Tamanghasset,21.4088224,7.4928779,10
Algeria_Tamanghasset,21.4088224,7.686412,10
Algeria_Tamanghasset,21.4088224,7.8799461,10
Algeria_Tamanghasset,21.4088224,8.0734802,10
Algeria_Tamanghasset,21.4268405,8.2476603,8
Algeria_Adrar,21.6430567,0.4014114,4
Algeria_Adrar,21.5980116,0.5467328,9
Algeria_Adrar,21.5890026,0.7308181,10
Algeria_Adrar,21.5890026,0.9245921,10
Algeria_Adrar,21.5890026,1.1183661,10
Algeria_Adrar,21.5890026,1.3121401,10
Algeria_Adrar,21.5890026,1.505914,10
Algeria_Adrar,21.5890026,1.699688,10
Algeria_Adrar,21.5890026,1.893462,10
Algeria_Adrar,21.5890026,2.087236,10
Algeria_Adrar,21.5890026,2.28101,10
Algeria_Tamanghasset,21.5890026,2.474784,10
Algeria_Tamanghasset,21.5890026,2.6685579,10
Algeria_Tamanghasset,21.5890026,2.8623319,10
Algeria_Tamanghasset,21.5890026,3.0561059,10
Algeria_Tamanghasset,21.5890026,3.2498799,10
Algeria_Tamanghasset,21.5890026,3.4436539,10
Algeria_Tamanghasset,21.5890026,3.6374278,10
Algeria_Tamanghasset,21.5890026,3.8312018,10
Algeria_Tamanghasset,21.5890026,4.0249758,10
Algeria_Tamanghasset,21.5890026,4.2187498,10
Algeria_Tamanghasset,21.5890026,4.4125238,10
Algeria_Tamanghasset,21.5890026,4.6062977,10
Algeria_Tamanghasset,21.5890026,4.8000717,10
Algeria_Tamanghasset,21.5890026,4.9938457,10
Algeria_Tamanghasset,21.5890026,5.1876197,10
Algeria_Tamanghasset,21.5890026,5.3813937,10
Algeria_Tamanghasset,21.5890026,5.5751677,10
Algeria_Tamanghasset,21.5890026,5.7689416,10
Algeria_Tamanghasset,21.5890026,5.9627156,10
Algeria_Tamanghasset,21.5890026,6.1564896,10
Algeria_Tamanghasset,21.5890026,6.3502636,10
Algeria_Tamanghasset,21.5890026,6.5440376,10
Algeria_Tamanghasset,21.5890026,6.7378115,10
Algeria_Tamanghasset,21.5890026,6.9315855,10
Algeria_Tamanghasset,21.5890026,7.1253595,10
Algeria_Tamanghasset,21.5890026,7.3191335,10
Algeria_Tamanghasset,21.5890026,7.5129075,10
Algeria_Tamanghasset,21.5890026,7.7066815,10
Algeria_Tamanghasset,21.5890026,7.9004554,10
Algeria_Tamanghasset,21.5890026,8.0942294,10
Algeria_Tamanghasset,21.5890026,8.2880034,10
Algeria_Tamanghasset,21.5890026,8.4817774,10
Algeria_Tamanghasset,21.6340477,8.6271018,5
Algeria_Adrar,21.8052188,0.160525,6
Algeria_Adrar,21.7691828,0.3545413,10
Algeria_Adrar,21.7691828,0.5485577,10
Algeria_Adrar,21.7691828,0.7425741,10
Algeria_Adrar,21.7691828,0.9365905,10
Algeria_Adrar,21.7691828,1.1306068,10
Algeria_Adrar,21.7691828,1.3246232,10
Algeria_Adrar,21.7691828,1.5186396,10
Algeria_Adrar,21.7691828,1.712656,10
Algeria_Adrar,21.7691828,1.9066723,10
Algeria_Adrar,21.7691828,2.1006887,10
Algeria_Tamanghasset,21.7691828,2.2947051,10
Algeria_Tamanghasset,21.7691828,2.4887214,10
Algeria_Tamanghasset,21.7691828,2.6827378,10
Algeria_Tamanghasset,21.7691828,2.8767542,10
Algeria_Tamanghasset,21.7691828,3.0707706,10
Algeria_Tamanghasset,21.7691828,3.2647869,10
Algeria_Tamanghasset,21.7691828,3.4588033,10
Algeria_Tamanghasset,21.7691828,3.6528197,10
Algeria_Tamanghasset,21.7691828,3.8468361,10
Algeria_Tamanghasset,21.7691828,4.0408524,10
Algeria_Tamanghasset,21.7691828,4.2348688,10
Algeria_Tamanghasset,21.7691828,4.4288852,10
Algeria_Tamanghasset,21.7691828,4.6229016,10
Algeria_Tamanghasset,21.7691828,4.8169179,10
Algeria_Tamanghasset,21.7691828,5.0109343,10
Algeria_Tamanghasset,21.7691828,5.2049507,10
Algeria_Tamanghasset,21.7691828,5.398967,10
Algeria_Tamanghasset,21.7691828,5.5929834,10
Algeria_Tamanghasset,21.7691828,5.7869998,10
Algeria_Tamanghasset,21.7691828,5.9810162,10
Algeria_Tamanghasset,21.7691828,6.1750325,10
Algeria_Tamanghasset,21.7691828,6.3690489,10
Algeria_Tamanghasset,21.7691828,6.5630653,10
Algeria_Tamanghasset,21.7691828,6.7570817,10
Algeria_Tamanghasset,21.7691828,6.951098,10
Algeria_Tamanghasset,21.7691828,7.1451144,10
Algeria_Tamanghasset,21.7691828,7.3391308,10
Algeria_Tamanghasset,21.7691828,7.5331471,10
Algeria_Tamanghasset,21.7691828,7.7271635,10
Algeria_Tamanghasset,21.7691828,7.9211799,10
Algeria_Tamanghasset,21.7691828,8.1151963,10
Algeria_Tamanghasset,21.7691828,8.3092126,10
Algeria_Tamanghasset,21.7691828,8.503229,10
Algeria_Tamanghasset,21.7691828,8.6972454,10
Algeria_Tamanghasset,21.7962098,8.8621575,7
Algeria_Adrar,22.003417,-0.158566,4
Algeria_Adrar,21.958372,-0.0128793,9
Algeria_Adrar,21.949363,0.1716689,10
Algeria_Adrar,21.949363,0.3659302,10
Algeria_Adrar,21.949363,0.5601915,10
Algeria_Adrar,21.949363,0.7544528,10
Algeria_Adrar,21.949363,0.9487141,10
Algeria_Adrar,21.949363,1.1429754,10
Algeria_Adrar,21.949363,1.3372367,10
Algeria_Adrar,21.949363,1.531498,10
Algeria_Adrar,21.949363,1.7257593,10
Algeria_Tamanghasset,21.949363,1.9200206,10
Algeria_Tamanghasset,21.949363,2.1142819,10
Algeria_Tamanghasset,21.949363,2.3085432,10
Algeria_Tamanghasset,21.949363,2.5028045,10
Algeria_Tamanghasset,21.949363,2.6970658,10
Algeria_Tamanghasset,21.949363,2.8913271,10
Algeria_Tamanghasset,21.949363,3.0855883,10
Algeria_Tamanghasset,21.949363,3.2798496,10
Algeria_Tamanghasset,21.949363,3.4741109,10
Algeria_Tamanghasset,21.949363,3.6683722,10
Algeria_Tamanghasset,21.949363,3.8626335,10
Algeria_Tamanghasset,21.949363,4.0568948,10
Algeria_Tamanghasset,21.949363,4.2511561,10
Algeria_Tamanghasset,21.949363,4.4454174,10
Algeria_Tamanghasset,21.949363,4.6396787,10
Algeria_Tamanghasset,21.949363,4.83394,10
Algeria_Tamanghasset,21.949363,5.0282013,10
Algeria_Tamanghasset,21.949363,5.2224626,10
Algeria_Tamanghasset,21.949363,5.4167239,10
Algeria_Tamanghasset,21.949363,5.6109852,10
Algeria_Tamanghasset,21.949363,5.8052465,10
Algeria_Tamanghasset,21.949363,5.9995078,10
Algeria_Tamanghasset,21.949363,6.1937691,10
Algeria_Tamanghasset,21.949363,6.3880304,10
Algeria_Tamanghasset,21.949363,6.5822917,10
Algeria_Tamanghasset,21.949363,6.776553,10
Algeria_Tamanghasset,21.949363,6.9708142,10
Algeria_Tamanghasset,21.949363,7.1650755,10
Algeria_Tamanghasset,21.949363,7.3593368,10
Algeria_Tamanghasset,21.949363,7.5535981,10
Algeria_Tamanghasset,21.949363,7.7478594,10
Algeria_Tamanghasset,21.949363,7.9421207,10
Algeria_Tamanghasset,21.949363,8.136382,10
Algeria_Tamanghasset,21.949363,8.3306433,10
Algeria_Tamanghasset,21.949363,8.5249046,10
Algeria_Tamanghasset,21.949363,8.7191659,10
Algeria_Tamanghasset,21.949363,8.9134272,10
Algeria_Tamanghasset,21.958372,9.0979754,9
Algeria_Tamanghasset,21.994408,9.2533783,5
Algeria_Adrar,22.1745882,-0.4005976,5
Algeria_Adrar,22.1295432,-0.2060888,10
Algeria_Adrar,22.1295432,-0.0115801,10
Algeria_Adrar,22.1295432,0.1829287,10
Algeria_Adrar,22.1295432,0.3774374,10
Algeria_Adrar,22.1295432,0.5719462,10
Algeria_Adrar,22.1295432,0.766455,10
Algeria_Adrar,22.1295432,0.9609637,10
Algeria_Adrar,22.1295432,1.1554725,10
Algeria_Adrar,22.1295432,1.3499812,10
Algeria_Tamanghasset,22.1295432,1.54449,10
Algeria_Tamanghasset,22.1295432,1.7389988,10
Algeria_Tamanghasset,22.1295432,1.9335075,10
Algeria_Tamanghasset,22.1295432,2.1280163,10
Algeria_Tamanghasset,22.1295432,2.3225251,10
Algeria_Tamanghasset,22.1295432,2.5170338,10
Algeria_Tamanghasset,22.1295432,2.7115426,10
Algeria_Tamanghasset,22.1295432,2.9060513,10
Algeria_Tamanghasset,22.1295432,3.1005601,10
Algeria_Tamanghasset,22.1295432,3.2950689,10
Algeria_Tamanghasset,22.1295432,3.4895776,10
Algeria_Tamanghasset,22.1295432,3.6840864,10
Algeria_Tamanghasset,22.1295432,3.8785952,10
Algeria_Tamanghasset,22.1295432,4.0731039,10
Algeria_Tamanghasset,22.1295432,4.2676127,10
Algeria_Tamanghasset,22.1295432,4.4621214,10
Algeria_Tamanghasset,22.1295432,4.6566302,10
Algeria_Tamanghasset,22.1295432,4.851139,10
Algeria_Tamanghasset,22.1295432,5.0456477,10
Algeria_Tamanghasset,22.1295432,5.2401565,10
Algeria_Tamanghasset,22.1295432,5.4346653,10
Algeria_Tamanghasset,22.1295432,5.629174,10
Algeria_Tamanghasset,22.1295432,5.8236828,10
Algeria_Tamanghasset,22.1295432,6.0181915,10
Algeria_Tamanghasset,22.1295432,6.2127003,10
Algeria_Tamanghasset,22.1295432,6.4072091,10
Algeria_Tamanghasset,22.1295432,6.6017178,10
Algeria_Tamanghasset,22.1295432,6.7962266,10
Algeria_Tamanghasset,22.1295432,6.9907353,10
Algeria_Tamanghasset,22.1295432,7.1852441,10
Algeria_Tamanghasset,22.1295432,7.3797529,10
Algeria_Tamanghasset,22.1295432,7.5742616,10
Algeria_Tamanghasset,22.1295432,7.7687704,10
Algeria_Tamanghasset,22.1295432,7.9632792,10
Algeria_Tamanghasset,22.1295432,8.1577879,10
Algeria_Tamanghasset,22.1295432,8.3522967,10
Algeria_Tamanghasset,22.1295432,8.5468054,10
Algeria_Tamanghasset,22.1295432,8.7413142,10
Algeria_Tamanghasset,22.1295432,8.935823,10
Algeria_Tamanghasset,22.1295432,9.1303317,10
Algeria_Tamanghasset,22.1295432,9.3248405,10
Algeria_Tamanghasset,22.1655792,9.5193493,6
Algeria_Adrar,22.3277414,-0.5652537,8
Algeria_Adrar,22.3097233,-0.3899715,10
Algeria_Adrar,22.3097233,-0.1952127,10
Algeria_Adrar,22.3097233,-0.0004539,10
Algeria_Adrar,22.3097233,0.1943049,10
Algeria_Adrar,22.3097233,0.3890637,10
Algeria_Adrar,22.3097233,0.5838225,10
Algeria_Adrar,22.3097233,0.7785813,10
Algeria_Adrar,22.3097233,0.9733401,10
Algeria_Adrar,22.3097233,1.1680988,10
Algeria_Tamanghasset,22.3097233,1.3628576,10
Algeria_Tamanghasset,22.3097233,1.5576164,10
Algeria_Tamanghasset,22.3097233,1.7523752,10
Algeria_Tamanghasset,22.3097233,1.947134,10
